Folio,Porcion Viaje,"Fecha Llegada 
(Mes/Dia/Año)",Fecha Partida (Mes/Dia/Año) ,"Pueblo, Municipio Partida",Estado/Departamento,País ,Latitude , Longitude,Elevation (meters),Tiempo Ubicacion,Metodo de Transporte (Tiempo en Transito),Paradas Interinas,Comentarios,Cargaba niños?,Grabacion,Iniciales Revisor,,,,,,
110,17,9/4/2023,,Saltillo,Coahuila,Mexico,25.404099650,-101.024833500,1590,,,,"Al albergue llego 9/18, estuvo dos semanas en casa de un amigo (las fechas son aproximadas!)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
111,1,1/1/2000,8/19/2023,Tegucigalpa,Francisco Morazán,Honduras,14.065252560,-87.210470400,977,,,,,No viajo con ninos,,"DW, AM, MP",,,,,,
111,2,8/20/2023,8/20/2023,,,Guatemala,14.614772330,-90.635641390,2258,,,,,,,,,,,,,
111,3,8/20/2023,8/20/2023,Suchiate,Chiapas,Mexico,14.624356030,-92.243201510,9,,,,,,,,,,,,,
111,4,8/21/2023,8/21/2023,Tecoman,San Luis Potosí,Mexico,21.536815030,-99.045094550,639,,,,,,,,,,,,,
111,5,8/21/2023,,Monterrey,Nuevo Leon,Mexico,25.730353540,-100.366009200,569,,,,"no se acuerda de las paradas, no tiene recolección de los 20 días anteriores",,,,,,,,,
111,6,9/18/2023,,Saltillo,Coahuila,Mexico,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
113,1,1/1/2020,8/21/2023,Bogota,Bogota,Colombia,4.675375953,-74.084938170,2552,,Autobus,,"originalmente de Venezuela, llevaba 3 años en Bogota",,,"DW, AM, MP",,,,,,
113,2,8/22/2023,8/22/2023,Medellin,Antioquia,Colombia,6.255124486,-75.589966230,1479,,Autobus,,llegaron y cambiaron de autobus ese mismo dia,,,,,,,,,
113,3,8/22/2023,8/24/2023,Necocli,Antioquia,Colombia,8.424064000,-76.785479000,5,2 noches,Lancha,,viajaron por dos dias para llegar a necocli,,,,,,,,,
113,4,8/25/2023,8/26/2023,Acandí,Chocó,Colombia,8.510121000,-77.278240000,9,1 dia/noche,Caminando,"No viaja con niños, pero si le toco cargar todas las pertenencias que llevaban en la selva cuando su pareja se enfermó",llegaron a un campamento y dice que de ahi entraron a la selva ,,,,,,,,,
113,5,8/26/2023,8/29/2023,Selva Darien,Darién,Colombia/Panamá,7.730213550,-77.550499252,158,3.5 dias , Caminando,,recorridos de las 6 am a las 5 pm,,,,,,,,,
113,6,8/29/2023,8/30/2023,Bajo Chiquito,Emberá-Wounaan,Panamá,8.457533557,-77.678325723,45,,Piragua,,"en la tarde dice que llegaron a un pueblito en la selva, inferi que era Bajo Chiquito*",,,,,,,,,
113,7,8/30/2023,8/30/2023,Lajas Blancas,Emberá-Wounaan,Panamá,8.417491114,-77.802787865,43,2pm - 10pm,,,"campamento de ONU que esta saliendo de la selva darien, puede ser el de Lajas Blancas o San Vicente",,,,,,,,,
113,8,8/31/2023,8/31/2023,Los Planes Gualaca,Chiriqui,Panamá,8.629929175,-82.208116242,1111,,,,"albergue de ONU que quedaba como a una hora de Costa Rica, supuse que era Los Planes Gualaca",,,,,,,,,
113,9,8/31/2023,9/1/2023,,,Costa Rica,10.439892554,-84.286718747,172,1 noche,,,,,,,,,,,,
113,10,9/2/2023,9/2/2023,Peñas Blancas,Guanacaste,Costa Rica,11.211143788,-85.613532095,49,,Caminando + Autobus (1 dia),,"llega a la frontera de Costa Rica con Nicaragua , no especifica donde, pero supongo que fue en Peñas Blancas porque es la unica entrada oficial a Nicaragua, luego camina 3 horas al puerto de migracion agarra autobus, ",,,,,,,,,
113,11,9/2/2023,9/13/2023,Danli,El Paraíso,Honduras,14.038129780,-86.567459120,760,12 dias,Autobus ,,"Se quedaron porque le dio un derrame pulmonar a su pareja, approx. 2 dias en llegar hasta Tapachula",,,,,,,,,
113,12,9/14/2023,9/15/2023,Ciudad de Guatemala,Guatemala,Guatemala,14.621554770,-90.517284220,1495,1 dia,,,,,,,,,,,,
113,13,9/15/2023,9/16/2023,Tapachula,Chiapas,México,14.909851290,-92.260796590,177,1 dia,Autobus,,,,,,,,,,,
113,14,9/16/2023,9/17/2023,Arriaga,Chiapas,México,16.233446260,-93.910153100,47,2 dias,Autobus,,"salieron en la noche, llegaron a Oaxaca el prox. dia en la mañana",,,,,,,,,
113,15,9/18/3034,9/18/3034,Oaxaca,1570,México,17.067897260,-96.734443660,1570,,Autobus,,,,,,,,,,,
113,17,9/18/3034,9/19/2023,CDMX,Estado de México,México,19.368636180,-99.132644040,2239,1 noche,Autobus (~18 horas),,se quedaron en casa de un amigo la noche,,,,,,,,,
113,18,9/20/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
114,1,1/1/2000,5/14/2022,,,Honduras,14.082970790,-87.205042880,935,,,,,,,"DW, AM, MP",,,,,,
114,2,5/14/2022,5/14/2022,Esquipulas,Matagalpa,Nicaragua,14.670602000,-84.648693000,70,,Carro,,,,,,,,,,,
114,3,5/15/2023,5/18/2022,Santa Elena,Petén,Guatemala,16.918145641,-89.892496853,131,3 dias,,,,,,,,,,,,
,,,,La Tecnica,Petén,Guatemala,16.816330000,-90.884100000,112,N/A,N/A,,,,,,,,,,,
,,,,Salto de Agua,Chiapas,México,17.55597401,-92.34208946,17,3  dias,Caminando,,Alojados en casa de migrante,,,,,,,,,
114,4,5/18/2022,9/11/2023,Pacanám,Chiapas,México,17.052506000,-92.573922000,907,10 dias,,,"3 en albergue, una sermana refugiados en una iglesia",,,,,,,,,
114,5,9/12/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,Llegan por ACNUR. Los mandan a un hotel por 3 dias y leugo al albergue. LLevan una semana en el albergue,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
115,1,1/1/2000,8/26/2023,La Ceiba,Atlántida,Honduras,15.770215086,-86.788805872,14,,,,,NO viajo con ninos,,"?, MP",,,,,,
115,2,8/26/2023,8/27/2023,Santa Elena,Petén,Guatemala,16.918145641,-89.892496853,131,1 noche,Caminando (3 dias),,,,,,,,,,,
115,3,8/30/2023,8/31/2023,Tenosique,Tabasco,México,17.472589049,-91.424918710,28,1 noche,,,,,,,,,,,,
115,4,8/31/2023,8/31/2023,Villahermosa,Tabasco,México,17.989170267,-92.944938300,20,,Combi,,,,,,,,,,,
115,5,8/31/2023,9/1/2023,Cárdenas,Tabasco,México,18.001317425,-93.373666467,26,1 noche,,,,,,,,,,,,
115,6,9/1/2023,9/1/2023,Coatzacoalcos,Veracruz,México,18.135839665,-94.453546830,27,,Tren,,,,,,,,,,,
115,7,9/2/2023,9/2/2023,Tierra Blanca,Veracruz,México,18.445438240,-96.352054030,71,medio dia,Tren,,Llegaron a una Casa de Migrante done dejaron que se bañaran,,,,,,,,,
115,8,9/2/2023,9/3/2023,Orizaba,Veracruz,México,18.857310760,-97.107383180,1249,1 noche,,,,,,,,,,,,
115,9,9/4/2023,9/7/2023,Acayucan,Veracruz,Mexico,17.950191310,-94.924767920,83,3 dias,,,Migracion los regreso,,,,,,,,,
115,10,9/7/2023,9/9/2023,Puerto de Veracruz,Veracruz,México,19.198262206,-96.187850443,54,2 dias,,,,,,,,,,,,
115,11,9/9/2023,9/11/2023,Apizaco,Tlaxcala,México,19.411035160,-98.143309850,2429,2 dias,Camioneta,,,,,,,,,,,
115,12,9/12/2023,9/13/2023,Queretaro,Queretaro,México,20.567063550,-100.387171000,1882,1 dia,,,,,,,,,,,,
115,13,9/14/2023,9/15/2023,Celaya,Guanajuato,México,20.529111290,-100.826570200,1757,,"Tren, caminando",,,,,,,,,,,
115,14,9/16/2023,9/20/2023,San Luis Potosi,San Luis Potosi,México,22.168753080,-100.976702800,1865,,,,,,,,,,,,,
115,15,9/20/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
116,1,1/1/2000,9/2/2023,Ciudad Juarez,Chihuahua,México,31.662437660,-106.414480500,1158,,,,,,,"DW, AM, MP",,,,,,
116,2,9/3/2023,9/11/2023,Camargo,Chihuahua,México,27.686943000,-105.173557000,1231,9 dias,Camión,,estuvo trabajando 1 semana en un rancho,,,,,,,,,
116,3,9/12/2023,9/15/2023,Gomez Palacio,Durango,México,25.570118000,-103.498228000,1133,3 dias,Camión,,,,,,,,,,,
116,4,9/15/2023,9/17/2023,Zacatecas,Zacatecas,México,22.770464000,-102.595403000,2445,2 dias,Caminando (6/7 horas),,Se quedo en la Central de Abastos. Tambien se quedo trabajando.,,,,,,,,,
116,5,9/17/2023,9/17/2023,Monterrey,Nuevo Leon,México,25.706227150,-100.321377300,569,,Caminando (3 dias),,,,,,,,,,,
116,6,9/20/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,Los trajo la gente de Cristo Vive,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
117,1,1/1/2000,9/18/2023,Ciudad Juarez,Chihuahua,México,31.662437660,-106.414480500,1158,,Tren,"Paradas de tren: Chihuahua, Torreón, Coahuila",Es originalmente de Aguascalientes. Todo el viaje fue en tren,No viaja con niños,,"DW, AM, MP",,,,,,
117,2,9/22/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
118,1,1/1/2000,05/??/2023,San Pedro Sula,Cortés,Honduras,15.504970000,-88.023900000,90,,,,"No recuerda cuando salio, nomas que fue a mediados de Mayo, 3 dias hasta llegar a Tapachula",,,AM,,,,,,
118,2,,,Ciudad de Guatemala,Guatemala,Guatemala,14.621554770,-90.517284220,1495,,,,,,,,,,,,,
118,3,,,Tapachula,Chiapas,México,14.909851290,-92.260796590,158,2-3 Semanas,Caminando (9 dias),Escuintla,,,,,,,,,,
118,4,,,Arriaga,Chiapas,México,16.233446260,-93.910153100,47,,|,,,,,,,,,,,
118,5,,,???,Veracruz,México,18.462270632,-95.354832562,558,,Tren,,,,,,,,,,,
118,6,,,Tierra Blanca,Veracruz,México,18.445438240,-96.352054030,71,,Tren (1 noche),,,,,,,,,,,
118,7,,,Orizaba,Veracruz,Mexico,18.854518360,-97.102659420,1249,,Tren (1 noche),,,,,,,,,,,
118,8,,,Apizaco,Tlaxcala,México,19.411035160,-98.143309850,2429,,Tren (1 noche),,,,,,,,,,,
118,9,,,CDMX,Estado de México,México,19.368636180,-99.132644040,2239,,Tren (1 noche),,,,,,,,,,,
118,10,,,Huehuetoca,Estado de México,México,19.827243611,-99.199961532,2258,3 dias,Tren (1 noche),,,,,,,,,,,
118,11,,,Irapuato,Guanajuato,México,20.678505850,-101.353868671,1723,,Tren (1 dia y medio),,,,,,,,,,,
118,12,,,Monterrey,Nuevo Leon,México,25.706227150,-100.321377300,569,1 mes y medio,Camion (1 hora),,,,,,,,,,,
118,13,9/21/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
119,1,1/1/2000,8/16/2023,Floridablanca,Santander,Colombia,7.072295541,-73.106254142,842,,,,"El grupo quedo de llegar a ""El Salitre""",,,AM,,,,,,
119,2,8/16/2023,8/16/2023,Bogota,Bogota,Colombia,4.675375953,-74.084938170,2552,,Bus (12 horas),,"Salieron a las 9pm, llegaron a las 9 am",,,,,,,,,
119,3,8/17/2023,8/18/2023,Medellin,Antioquia,Colombia,6.255124486,-75.589966230,1479,~18 horas,Bus (~11 horas),,,,,,,,,,,
119,4,8/18/2023,8/18/2023,Turbo,Antioquia,Colombia,8.094863636,-76.728275665,5,,Lancha (1-2 horas),,,,,,,,,,,
119,5,8/18/2023,8/19/2023,Acandí,Chocó,Colombia,8.510121000,-77.278240000,9,1 noche,Caminando (2 dias),,,,,,,,,,,
119,6,8/21/2023,8/21/2023,Frontera,,Colombia/Panama,,,,,Caminando (2 dias),,"""La Bandera""",,,,,,,,,
119,7,8/24/2023,8/24/2023,Bajo Chiquito,Emberá-Wounaan,Panamá,8.457533557,-77.678325723,45,,Piraguas,,,,,,,,,,,
119,8,8/25/2023,8/27/2023,ONU Panamá,Ciudad de Panamá,Panamá,8.987121507,-79.509923147,17,2 dias,Bus (1 dia),,,,,,,,,,,
119,9,,,Frontera,,Panamá/Costa Rica,,,,,,,,,,,,,,,,
119,10,,,Frontera,,Costa Rica/Nicaragua,,,,,Bus (1 dia) + Caminando (3 horas),,"""Los Platanales""",,,,,,,,,
119,11,,,Nicaragua,,,,,,,,,Taxi (10 min) a terminal,,,,,,,,,
119,12,,,Platanales,,,,,,,,,Buseta (6 horas),,,,,,,,,
119,13,,,Managua,Managua,Nicaragua,12.113088536,-86.230140760,174,,Carro + Bus,,,,,,,,,,,
119,14,,,Tegucigalpa,Francisco Morazán,Honduras,14.065252560,-87.210470400,977,2 dias,,,,,,,,,,,,
119,15,,,Frontera,Chiapas?,Honduras/Guatemala,,,,,Bus,,"Ya que cruzo a Guatemala, lo regresaron a Honduras, perdio medio dia de viaje",,,,,,,,,
119,16,,,Ciudad de Guatemala,Guatemala,Guatemala,14.621554770,-90.517284220,1495,,"Bus, Caminando (20 horas)",,,,,,,,,,,
119,17,,,Frontera,,Guatemala/Mexico,,,,,Balsa,,,,,,,,,,,
119,18,9/5/2023,9/5/2023,Villahermosa,Tabasco,México,17.989170267,-92.944938300,20,,"Combi, truchero (3-4 dias)","18 pueblos, Tuxtla, La Ventosa",,,,,,,,,,
119,19,9/8/2023,9/8/2023,CDMX,Estado de México,México,19.368636180,-99.132644040,2239,,"Tren (""La Bestia"")",,,,,,,,,,,
119,20,9/10/2023,9/11/2023,Torreón,Coahuila,México,25.541981318,-103.407303441,1128,,|,,,,,,,,,,,
119,21,9/12/2023,9/14/2023,Cheguata??,,México,,,,2 dias (tren se descompuso),|,,,,,,,,,,,
119,22,9/15/2023,9/15/2023,Ciudad Juarez,Chihuahua,México,31.662437660,-106.414480500,1158,,Tren,,,,,,,,,,,
119,23,9/16/2023,9/18/2023,Monterrey,Nuevo Leon,México,25.706227150,-100.321377300,569,2 dias,Tren,,,,,,,,,,,
119,24,9/18/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
120,1,1/1/2000,9/4/2023,,,Haiti,18.592834793,-72.320199961,24,,Bus (6 horas),,,,,AM,,,,,,
120,2,9/4/2023,9/16/2023,,,Republica Dominicana,18.879892612,-70.244267391,194,12 dias,Avion (2 horas),,,,,,,,,,,
120,3,9/16/2023,9/16/2023,,,Nicaragua,12.149766000,-86.207175000,67,,Bus (1 dia),,,,,,,,,,,
120,4,9/17/2023,9/17/2023,,,Honduras,14.082970790,-87.205042880,935,,Bus (1 dia),,,,,,,,,,,
120,5,9/18/2023,9/18/2023,,,Guatemala,14.686065000,-90.389428000,1122,,Bus (1 dia),,,,,,,,,,,
120,6,9/19/2023,9/19/2023,Tapachula,Chiapas,México,14.909851290,-92.260796590,158,,Bus (3 horas),,,,,,,,,,,
120,7,9/19/2023,9/19/2023,San Pedro Tapanatepec,Oaxaca,México,16.369737781,-94.194936130,59,,|,,,,,,,,,,,
120,8,9/19/2023,9/19/2023,Chahuites,Oaxaca,México,16.286410091,-94.191606743,21,,|,,,,,,,,,,,
120,9,9/19/2023,9/19/2023,Santo Domingo Zanatepec,Oaxaca,México,16.479398171,-94.352584487,67,,Bus (8-9 horas),,,,,,,,,,,
120,10,9/20/2023,9/20/2023,Juchitan,Oaxaca,México,16.441056628,-95.021702612,22,,Bus (5-6 horas),,,,,,,,,,,
120,11,9/20/2023,9/20/2023,Oaxaca Centro,Oaxaca,México,17.064089137,-96.724032756,1560,,Bus (8 horas),,,,,,,,,,,
120,12,9/21/2023,9/21/2023,CDMX,Estado de México,México,19.368636180,-99.132644040,2239,,Bus (13 horas),,,,,,,,,,,
120,13,9/22/2023,,Saltillo,Coahuila,México,25.404099650,-101.024833500,1590,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
121,1,11/1/2022,9/16/2023,Santo Domingo,Distrito Nacional ,Republica Dominicana,18.476520000,-69.891801000,32,,Avion (2-3 horas),,,,,"DW, AM",,,,,,
